"lambda","phi_Rb","name","source"
1.3168,0.147592598,"Chure & Cremer 2023","Si et al., 2017"
1.4475,0.170337018,"Chure & Cremer 2023","Si et al., 2017"
1.3448,0.201240258,"Chure & Cremer 2023","Si et al., 2017"
1.503,0.171617816,"Chure & Cremer 2023","Si et al., 2017"
1.5053,0.183441268,"Chure & Cremer 2023","Si et al., 2017"
1.2583,0.19002302,"Chure & Cremer 2023","Si et al., 2017"
1.3125,0.144278932,"Chure & Cremer 2023","Si et al., 2017"
1.1146,0.133353406,"Chure & Cremer 2023","Si et al., 2017"
1.1547,0.1424375,"Chure & Cremer 2023","Si et al., 2017"
1.0276,0.127095272,"Chure & Cremer 2023","Si et al., 2017"
1.058,0.110814096,"Chure & Cremer 2023","Si et al., 2017"
1.1048,0.147191494,"Chure & Cremer 2023","Si et al., 2017"
1.0261,0.118357586,"Chure & Cremer 2023","Si et al., 2017"
0.70007,0.176777472,"Chure & Cremer 2023","Si et al., 2017"
0.75945,0.087837218,"Chure & Cremer 2023","Si et al., 2017"
0.64728,0.095663304,"Chure & Cremer 2023","Si et al., 2017"
0.64552,0.08564482,"Chure & Cremer 2023","Si et al., 2017"
0.6694,0.087960284,"Chure & Cremer 2023","Si et al., 2017"
0.35841,0.068538646,"Chure & Cremer 2023","Si et al., 2017"
1.2071,0.116210768,"Chure & Cremer 2023","Si et al., 2017"
0.64317,0.068538646,"Chure & Cremer 2023","Si et al., 2017"
1.7284,0.19227923,"Chure & Cremer 2023","Si et al., 2017"
1.1884,0.119392252,"Chure & Cremer 2023","Si et al., 2017"
0.96,0.149581988637154,"Wu et al. 2023","Wu et al. 2023"
0.75,0.133547715434083,"Wu et al. 2023","Wu et al. 2023"
0.54,0.11499535453822,"Wu et al. 2023","Wu et al. 2023"
0.33,0.087464204731956,"Wu et al. 2023","Wu et al. 2023"
1.77,0.256724783337978,"Wu et al. 2023","Wu et al. 2023"
1.42,0.22579781433623,"Wu et al. 2023","Wu et al. 2023"
1.58,0.229179523773943,"Wu et al. 2023","Wu et al. 2023"
1.32,0.201692766099338,"Wu et al. 2023","Wu et al. 2023"
0.95,0.157491353688599,"Wu et al. 2023","Wu et al. 2023"
0.73,0.136212377162398,"Wu et al. 2023","Wu et al. 2023"
0.53,0.10973548350697,"Wu et al. 2023","Wu et al. 2023"
0.35,0.0806985209899895,"Wu et al. 2023","Wu et al. 2023"
0.91,0.154855315066564,"Mori et al. 2021","Mori et al. 2021"
0.77,0.145105766344916,"Mori et al. 2021","Mori et al. 2021"
0.69,0.137583716185726,"Mori et al. 2021","Mori et al. 2021"
0.56,0.125325240981703,"Mori et al. 2021","Mori et al. 2021"
0.48,0.109820842257189,"Mori et al. 2021","Mori et al. 2021"
0.35,0.0947265679831719,"Mori et al. 2021","Mori et al. 2021"
0.72,0.138807693411311,"Mori et al. 2021","Mori et al. 2021"
0.56,0.122205305046799,"Mori et al. 2021","Mori et al. 2021"
0.33,0.0934035911092187,"Mori et al. 2021","Mori et al. 2021"
0.49,0.111934559474563,"Mori et al. 2021","Mori et al. 2021"
0.81,0.155785077629172,"Mori et al. 2021","Mori et al. 2021"
0.71,0.141117194080974,"Mori et al. 2021","Mori et al. 2021"
0.55,0.125741353749555,"Mori et al. 2021","Mori et al. 2021"
0.5,0.115181985834816,"Mori et al. 2021","Mori et al. 2021"
0.34,0.0952484831685377,"Mori et al. 2021","Mori et al. 2021"
0.501070251007189,0.108287064356284,"Mori et al. 2021","Mori et al. 2021"
0.904105018121668,0.157554567598531,"Mori et al. 2021","Mori et al. 2021"
0.681784112026176,0.132337972911713,"Mori et al. 2021","Mori et al. 2021"
1.12402245496207,0.170925229886036,"Mori et al. 2021","Mori et al. 2021"
0.489280362748197,0.109927438548723,"Mori et al. 2021","Mori et al. 2021"
0.831776616671934,0.162520292688771,"Mori et al. 2021","Mori et al. 2021"
0.770163533955495,0.155516546721022,"Mori et al. 2021","Mori et al. 2021"
0.848751649665239,0.152503453158011,"Mori et al. 2021","Mori et al. 2021"
1.88,0.242,"Zhu et al. 2025","Zhu et al. 2025"
1.26,0.182,"Zhu et al. 2025","Zhu et al. 2025"
0.97,0.147,"Zhu et al. 2025","Zhu et al. 2025"
0.69,0.1135,"Zhu et al. 2025","Zhu et al. 2025"
0.41,0.086,"Zhu et al. 2025","Zhu et al. 2025"
